Column_Data_00
    step      time[sec]         Q:X-         Q:X+         Q:Y-         Q:Y+         Q:Z-         Q:Z+ > Balance[m^3/s] :          H:X-         H:X+         H:Y-         H:Y+         H:Z-         H:Z+ >     Balance[W]
      66   4.125000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6426e+02   4.1035e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6426e+02
      67   4.187500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6422e+02   4.1980e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6422e+02
      68   4.250000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6417e+02   4.2034e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6417e+02
      69   4.312500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6413e+02   4.1189e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6413e+02
      70   4.375000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6408e+02   3.9455e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6408e+02
      71   4.437500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6404e+02   3.6852e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6404e+02
      72   4.500000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6399e+02   3.3410e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6399e+02
      73   4.562500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6394e+02   2.9165e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6394e+02
      74   4.625000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6390e+02   2.4158e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6390e+02
      75   4.687500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6385e+02   1.8431e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6385e+02
      76   4.750000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6381e+02   1.2029e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6381e+02
      77   4.812500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6376e+02   4.9940e-11   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6376e+02
      78   4.875000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6371e+02  -2.6344e-11   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6371e+02
      79   4.937500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6367e+02  -1.0820e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6367e+02
      80   5.000000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6362e+02  -1.9530e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6362e+02
      81   5.062500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6358e+02  -2.8735e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6358e+02
      82   5.125000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6353e+02  -3.8409e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6353e+02
      83   5.187500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6349e+02  -4.8528e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6349e+02
      84   5.250000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6344e+02  -5.9065e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6344e+02
      85   5.312500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6339e+02  -6.9996e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6339e+02
      86   5.375000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6335e+02  -8.1290e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6335e+02
      87   5.437500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6330e+02  -9.3797e-10   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6330e+02
      88   5.500000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6326e+02  -1.0268e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6326e+02
      89   5.562500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6321e+02  -1.1402e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6321e+02
      90   5.625000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6317e+02  -1.2459e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6317e+02
      91   5.687500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6312e+02  -1.3446e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6312e+02
      92   5.750000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6308e+02  -1.4378e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6308e+02
      93   5.812500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6303e+02  -1.5271e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6303e+02
      94   5.875000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6298e+02  -1.6139e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6298e+02
      95   5.937500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6294e+02  -1.6993e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6294e+02
      96   6.000000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6289e+02  -1.7842e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6289e+02
      97   6.062500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6285e+02  -1.8419e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6285e+02
      98   6.125000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6280e+02  -1.9150e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6280e+02
      99   6.187500e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6276e+02  -1.9930e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6276e+02
     100   6.250000e-01   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00   0.0000e+00  -0.0000e+00 >     0.0000e+00 :   -1.6271e+02  -2.0758e-09   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00 >    -1.6271e+02
